iteration,activation,lr,epoch
1,1,0.011289201,2820
2,2,0.01025204,3301
3,3,0.03472397,1684
4,1,0.007359554,2098
5,1,0.00690155,3478
6,1,0.1,1128
7,3,0.091421282,3374
8,1,0.008523214,5000
9,3,0.00853409,3474
10,1,0.00206075,2493
11,4,0.031806003,2566
12,1,0.033413046,3780
13,2,0.008261542,1494
14,3,0.003655579,1471
15,4,0.073430969,2433
16,1,0.005690693,1000
17,2,0.031055427,2509
18,1,0.005398065,1685
19,1,0.003000508,2729
20,1,0.005804611,3563
21,1,0.004898029,2186
22,4,0.1,2698
23,1,0.007837766,1954
24,3,0.043552748,2483
25,1,0.016341178,2593
26,1,0.009194461,4392
27,3,0.015824215,1760
28,3,0.019516651,2898
29,3,0.003998072,5000
30,3,0.015596986,2960
31,1,0.009580998,3365
32,1,0.003143955,2976
33,3,0.050960009,2822
34,3,0.004708612,1978
35,3,0.012325513,1726
36,3,0.026839313,3160
37,1,0.004969242,1363
38,1,0.030412832,3351
39,1,0.019382928,2641
40,3,0.013342068,5000
41,1,0.014869707,4914
42,1,0.003222245,1631
43,1,0.004312573,1174
44,3,0.021243924,1260
45,2,0.010123921,4115
46,3,0.043822141,1000
47,3,0.003521211,1265
48,2,0.00671362,1657
49,4,0.011917277,5000
50,3,0.1,2683
1,3,0.0459,3931
6,3,0.0132,4131
11,2,0.0371,1000
16,4,0.0537,2021
21,3,0.0724,2814
26,1,0.029,1249
31,3,0.0097,1000
36,1,0.0112,2437
41,3,0.0107,3264
46,4,0.0193,2665
1,3,0.1,2641
